Meslek Ünvanı;Sektör;Etkilenme Tipi;Talep  Değişimi;Etki Açıklaması;Veri Kaynağı
Müşteri Hizmetleri Temsilcisi;Hizmet;Azalma Riski;Yüksek Düşüş;Rutin sorguların chatbotlar tarafından otomasyonu;Goldman Sachs - 'The Potentially Large Effects of AI on Economic Growth' Raporu
İdari Asistan;Yönetim;Azalma Riski;Yüksek Düşüş;Doküman hazırlama ve planlamanın YZ ile otomasyonu;Goldman Sachs - 'The Potentially Large Effects of AI on Economic Growth' Raporu
Veri Giriş Elemanı;Yönetim;Azalma Riski;Yüksek Düşüş;Veri girişi ve sınıflandırmanın tam otomasyonu;World Economic Forum (WEF) - 'Future of Jobs Report' (Geleceğin Meslekleri Raporu)
Kasiyer;Perakende;Azalma Riski;Yüksek Düşüş;Otomatik ödeme sistemleri ve self-servis kasalar;World Economic Forum (WEF) - 'Future of Jobs Report' (Geleceğin Meslekleri Raporu)
Banka Gişe Memuru;Finans;Azalma Riski;Yüksek Düşüş;Online bankacılık ve YZ destekli ATM'lerin yaygınlaşması;World Economic Forum (WEF) - 'Future of Jobs Report' (Geleceğin Meslekleri Raporu)
Tele-pazarlamacı;Pazarlama;Azalma Riski;Yüksek Düşüş;YZ tarafından yönetilen otomatik arama ve satış sistemleri;Goldman Sachs - 'The Potentially Large Effects of AI on Economic Growth' Raporu
Muhasebeci/Denetçi;Finans;Azalma Riski;Düşüş;Veri girişi ve rutin denetimlerin YZ tarafından yapılması;Goldman Sachs Economic Research ve Sektörel Analizler
Bilgisayar Programcısı (Giriş Seviye/Junior);Teknoloji;Azalma Riski;Düşüş;Temel kod bloklarının YZ (Copilot vb.) tarafından üretilmesi;WEF ('Future of Jobs Report') ve Goldman Sachs Analizleri
Fabrika Montaj Hattı İşçisi;Üretim;Azalma Riski;Düşüş;Robotik otomasyon ve YZ kalite kontrol sistemleri;McKinsey Global Institute - 'Generative AI and the future of work' Raporu
Posta Hizmetleri Çalışanı;Lojistik;Azalma Riski;Düşüş;Dijital iletişim ve otomatik sıralama sistemleri;World Economic Forum (WEF) - 'Future of Jobs Report' (Geleceğin Meslekleri Raporu)
Bordro Uzmanı;İnsan Kaynakları;Azalma Riski;Düşüş;Bordro ve özlük işleri yazılımlarının otomasyonu;PwC - 'Global Artificial Intelligence Study' (Küresel Yapay Zeka Çalışması)
Prompt Mühendisi;Teknoloji;Yeni Oluşan;Yüksek Artış;Üretici YZ modellerinden istenen çıktıyı almak için etkili komutlar yazma;WEF ('Future of Jobs Report') ve McKinsey Analizleri
Makine Öğrenimi Uzmanı;Teknoloji;Yeni Oluşan;Yüksek Artış;Karmaşık YZ ve Makine Öğrenimi modelleri tasarlama ve uygulama;TİSK - 'Geleceğin İşleri ve Yetkinlikleri Raporu'
Veri Bilimcisi;Teknoloji/Analitik;Yeni Oluşan;Yüksek Artış;Büyük veriden anlamlı modeller çıkarma ve tahminleme yapma;TİSK ('Geleceğin İşleri') ve WEF ('Future of Jobs Report')
AI Etiği Uzmanı;Teknoloji/Hukuk;Yeni Oluşan;Artış;YZ sistemlerinin adil, şeffaf ve önyargısız çalışmasını denetleme;World Economic Forum (WEF) - 'Future of Jobs Report' (Geleceğin Meslekleri Raporu)
YZ Eğitmeni (AI Trainer);Teknoloji;Yeni Oluşan;Artış;YZ modellerini doğrulamak, eğitmek ve ince ayar yapmak;McKinsey Global Institute ('Generative AI') ve WEF ('Future of Jobs Report')
AI Ürün Yöneticisi;Teknoloji/Yönetim;Yeni Oluşan;Artış;YZ özelliklerine sahip ürünlerin yaşam döngüsünü yönetme;McKinsey Global Institute - 'Generative AI and the future of work' Raporu
Robotik Süreç Otomasyonu (RPA) Geliştiricisi;Teknoloji;Yeni Oluşan;Artış;İş süreçlerini otomatikleştiren botlar tasarlama;World Economic Forum (WEF) - 'Future of Jobs Report' (Geleceğin Meslekleri Raporu)
AI Güvenlik Uzmanı;Teknoloji/Güvenlik;Yeni Oluşan;Artış;YZ sistemlerini saldırılara (adversarial attacks) karşı koruma;McKinsey Global Institute - 'Generative AI and the future of work' Raporu
Veri Analisti;Teknoloji/Analitik;Dönüşüm/Kolaylaşma;Artış;Veri temizleme ve temel görselleştirme işlerinin YZ ile hızlanması;PwC - 'Global Artificial Intelligence Study' (Küresel Yapay Zeka Çalışması)
Yazılım Geliştirici (Kıdemli/Senior);Teknoloji;Dönüşüm/Kolaylaşma;Artış;YZ araçları sayesinde verimlilik artışı ve iş akışlarının yeniden tasarımı;McKinsey Global Institute - 'Generative AI and the future of work' Raporu
Finansal Analist;Finans;Dönüşüm/Kolaylaşma;Nötr/Artış;Rutin raporlama YZ'ye devredildi, stratejik karar verme önem kazandı;PwC - 'Global Artificial Intelligence Study' (Küresel Yapay Zeka Çalışması)
Pazarlama Uzmanı;Pazarlama;Dönüşüm/Kolaylaşma;Nötr/Artış;İçerik üretiminin (metin/görsel) YZ ile kolaylaşması;PwC - 'Global Artificial Intelligence Study' (Küresel Yapay Zeka Çalışması)
Öğretmen/Eğitmen;Eğitim;Dönüşüm/Kolaylaşma;Nötr/Artış;YZ ile kişiselleştirilmiş öğrenme planları oluşturma;McKinsey Global Institute - 'Generative AI and the future of work' Raporu
Doktor/Radyolog;Sağlık;Dönüşüm/Kolaylaşma;Nötr/Artış;YZ destekli teşhis ve görüntü analizi (örn: MR, röntgen);McKinsey Global Institute - 'Generative AI and the future of work' Raporu
İK Uzmanı;İnsan Kaynakları;Dönüşüm/Kolaylaşma;Nötr/Artış;YZ ile işe alım süreçleri (özgeçmiş tarama) ve yetenek yönetimi;PwC - 'Global Artificial Intelligence Study' (Küresel Yapay Zeka Çalışması)
Lojistik Yöneticisi;Lojistik;Dönüşüm/Kolaylaşma;Nötr/Artış;Rota optimizasyonu ve tedarik zinciri tahmini için YZ kullanımı;World Economic Forum (WEF) - 'Future of Jobs Report' (Geleceğin Meslekleri Raporu)
Grafik Tasarımcı;Tasarım;Dönüşüm/Kolaylaşma;Nötr;Görsel üretiminin YZ (Midjourney vb.) ile hızlanması;McKinsey Global Institute - 'Generative AI and the future of work' Raporu
Hukuk Asistanı (Paralegal);Hukuk;Dönüşüm/Kolaylaşma;Nötr;Dava araştırması ve doküman analizinin YZ ile hızlanması;Goldman Sachs - 'The Potentially Large Effects of AI on Economic Growth' Raporu
Gazeteci/Yazar;Medya;Dönüşüm/Kolaylaşma;Nötr;YZ ile araştırma, veri toplama ve taslak metin oluşturma;McKinsey Global Institute - 'Generative AI and the future of work' Raporu
Şehir Planlamacısı;Kamu/Mühendislik;Dönüşüm/Kolaylaşma;Nötr;Trafik optimizasyonu ve altyapı planlaması için YZ simülasyonları;World Economic Forum (WEF) - 'Future of Jobs Report' (Geleceğin Meslekleri Raporu)
Avukat;Hukuk;Dönüşüm/Kolaylaşma;Nötr;Emsal karar arama ve sözleşme analizinin YZ ile hızlanması;Goldman Sachs - 'The Potentially Large Effects of AI on Economic Growth' Raporu
